word,definition,sentence
cat,a small animal with fur,The cat sat on the mat
dog,a loyal animal that barks,The dog ran fast
sun,the bright star in the sky,The sun is hot
hat,a thing you wear on your head,I wear a hat
pen,a tool used for writing,I write with a pen
cup,a small container for drinks,I drink from a cup
book,a set of pages with words,I read a book
tree,a tall plant with leaves,The tree is big
fish,an animal that swims in water,The fish swims
ball,a round object used in games,I throw the ball
